Rank,ReleaseYear,year,Movie_first,Movie_second,DomesticGross,WorldwideGross,movieId
3078,1981-06-12,1981,Clash of the Titans,NA,30000000,44400000,tt0082186
3079,2004-02-20,2004,Confessions of a Teenage Drama Queen,NA,29331068,33118854,tt0361467
3080,1998-04-17,1998,The Object of my Affection,NA,29145924,29145924,tt0120772
3081,2007-05-11,2007,28 Weeks Later,NA,28638916,64232714,tt0463854
3082,1997-04-11,1997,Grosse Pointe Blank,NA,28084357,31070412,tt0119229
3083,2000-04-21,2000,Love and Basketball,NA,27441122,27709625,"NA"
3084,2017-09-08,2017,Home Again,NA,27020284,37336874,tt5719700
3085,2000-10-27,2000,Book of Shadows,Blair Witch 2,26421314,47721314,tt0229260
3086,1997-10-10,1997,Boogie Nights,NA,26410771,43111725,tt0118749
3087,2010-07-23,2010,Ramona and Beezus,NA,26167002,27469621,tt0493949
3088,2014-08-27,2014,The November Man,NA,25018119,34820335,tt2402157
3089,1996-05-03,1996,The Craft,NA,24769466,55669466,tt0115963
3090,2005-12-28,2005,Match Point,NA,23089926,87973835,tt0416320
3091,1993-11-05,1993,The Remains of the Day,NA,22954968,63954968,tt0107943
3092,1993-01-15,1993,Nowhere to Run,NA,22189039,52189039,tt0107711
3093,2000-09-22,2000,Urban Legends,Final Cut,21468807,38574362,tt0192731
3094,2013-03-20,2013,The Place Beyond the Pines,NA,21403519,47011449,tt3504988
3095,2006-10-20,2006,Flicka,NA,21000147,21896367,tt0434215
3096,2007-03-23,2007,The Hills Have Eyes II,NA,20804166,37466538,tt0800069
3097,2016-04-29,2016,Keanu,NA,20591853,20688141,tt4139124
3098,2010-12-22,2010,Country Strong,NA,20218921,20601987,tt1555064
3099,2002-10-11,2002,Tuck Everlasting,NA,19161999,19344615,tt0283084
3100,2006-10-13,2006,The Marine,NA,18844784,22165608,tt0419946
3101,1998-07-24,1998,Disturbing Behavior,NA,17507368,19014238,tt0134619
3102,1998-03-06,1998,The Big Lebowski,NA,17498804,46189568,tt0118715
3103,2014-07-25,2014,A Most Wanted Man,NA,17237855,36068890,tt1972571
3104,2009-06-26,2009,The Hurt Locker,NA,17017811,49894223,"NA"
3105,2000-01-28,2000,Eye of the Beholder,NA,16500786,18260865,"NA"
3106,2012-11-02,2012,The Man with the Iron Fists,NA,15634090,22018988,tt1258972
3107,1984-05-11,1984,Firestarter,NA,15136870,15136870,tt0087262
3108,2019-01-30,2019,Miss Bala,NA,14998027,15364632,tt5941692
3109,2012-09-21,2012,Killing Them Softly,NA,14945541,39238443,tt1764234
3110,2001-04-20,2001,Freddy Got Fingered,NA,14249005,14249005,tt0240515
3111,2011-06-23,2011,One Day,NA,13843771,59168692,tt1563738
3112,2004-06-25,2004,De-Lovely,NA,13337299,18524496,tt0352277
3113,2009-10-02,2009,Whip It,NA,13077184,18889972,tt1172233
3114,2008-01-11,2008,The Pirates Who Don't Do Anything,A VeggieTale?€?,12981269,13248444,tt0475998
3115,2008-01-23,2008,U2 3D,NA,12898847,26170402,"NA"
3116,2000-09-01,2000,Highlander,Endgame,12801190,12801190,tt0144964
3117,2016-11-25,2016,The Founder,NA,12786053,24403192,tt4276820
3118,2006-08-25,2006,Idlewild,NA,12669914,12669914,tt0417225
3119,2003-04-25,2003,Confidence,NA,12212417,12212417,tt0310910
3120,2019-08-09,2019,Blinded by the Light,NA,11800669,16919994,tt8266310
3121,2002-10-11,2002,Knockaround Guys,NA,11660180,12419700,"NA"
3122,1999-08-27,1999,The Muse,NA,11614954,11614954,tt0164108
